Iowa	1088	3	326	16.79	87.8	25.6	-1
SouthDakota	1075	2	264	16.07	86.2	19.95	-1
NorthDakota	1068	3	317	16.57	88.3	20.62	-1
Kansas	1045	5	338	16.3	83.9	27.14	1
Nebraska	1045	5	293	17.25	83.6	21.05	-1
Montana	1033	8	263	15.91	93.7	29.48	-1
Minnesota	1028	7	343	17.41	78.3	24.84	-1
Utah	1022	4	333	16.57	75.2	17.42	-1
Alaska	923	31	401	15.32	96.5	50.1	1
Nevada	917	18	288	14.73	89.1	21.79	-1
Oregon	908	40	261	14.48	92.1	30.49	1
Vermont	904	54	225	16.5	84.2	20.17	1
California	899	36	293	15.52	83	25.94	1
Delaware	897	42	277	16.95	67.9	27.81	1
Connecticut	896	69	287	16.75	76.8	26.97	1
NewYork	896	59	236	16.86	80.4	33.58	1
Maine	890	46	208	16.05	85.7	20.55	1
Florida	889	39	255	15.91	80.5	22.62	1
Maryland	889	50	312	16.9	80.4	25.41	1
Virginia	888	52	295	16.08	88.8	22.23	1
Massachusetts	888	65	246	16.79	80.7	31.74	1
Pennsylvania	885	50	241	17.27	78.6	27.98	1
RhodeIsland	877	59	228	16.67	79.7	25.59	1
NewJersey	869	64	269	16.37	80.6	27.91	1
Texas	868	32	303	14.95	91.7	19.55	1
Indiana	860	48	258	14.39	90.2	17.93	1
Hawaii	857	47	277	16.4	67.6	21.21	1
NorthCarolina	827	47	224	15.31	92.8	19.92	1
Georgia	823	51	250	15.55	86.5	16.52	1
SouthCarolina	790	48	214	15.42	88.1	15.6	1
